team,season,total_icetime,total_games,total_shots_against,total_saves,total_gsax,num_goalies,team_save_pct,team_gsax_per_60
ANA,2021,297763.0,89.0,2666.19,2459.0,-17.259999999999984,4.0,0.9222898593123521,-0.003477933792983007
ANA,2022,297100.0,92.0,3134.9,2873.0,-13.199999999999994,4.0,0.9164566652843791,-0.002665769101312688
ANA,2023,293058.0,90.0,2781.94,2373.0,-14.86,2.0,0.8530018620099643,-0.003042401162909731
ANA,2024,315574.0,96.0,3057.4799999999996,2506.0,24.769999999999996,3.0,0.8196292371495482,0.004709513458016185
ANA,2025,54338.0,15.0,502.01,404.0,6.6899999999999995,2.0,0.8047648453218064,0.007387095586882107
ARI,2021,206572.0,66.0,1996.3799999999999,1801.0,-36.07999999999999,5.0,0.9021328604774642,-0.01047963906047286
ARI,2022,296972.0,84.0,2884.32,2580.0,13.050000000000011,3.0,0.8944915959394242,0.002636612205864528
ARI,2023,294902.0,90.0,2719.09,2326.0,-0.8200000000000003,3.0,0.8554332515657812,-0.00016683508419746226
BOS,2021,295021.0,86.0,2293.7,2136.0,5.400000000000004,3.0,0.931246457688451,0.0010982269058812772
BOS,2022,293711.0,86.0,2454.24,2243.0,66.44999999999999,2.0,0.9139285481452507,0.01357456819799054
BOS,2023,297959.0,84.0,2676.06,2284.0,33.16,2.0,0.8534935689035373,0.006677428773757463
BOS,2024,295217.0,85.0,2558.44,2075.0,-10.75,2.0,0.8110411031722455,-0.0021848335292344277
BOS,2025,61652.0,17.0,576.11,451.0,3.1599999999999966,2.0,0.7828366110638593,0.0030753260234866638
BUF,2021,296256.0,87.0,2562.98,2416.0,-27.23999999999999,6.0,0.9426526933491483,-0.0055168502916396606
BUF,2022,296475.0,85.0,2648.88,2414.0,-8.319999999999997,4.0,0.9113285615052399,-0.0016837844674930426
BUF,2023,293762.0,87.0,2579.17,2159.0,17.179999999999986,3.0,0.8370910021441006,0.0035089630381056744
BUF,2024,300941.0,88.0,2669.26,2141.0,-8.600000000000009,3.0,0.802094962648824,-0.0017146218029447649
BUF,2025,54196.0,15.0,518.46,423.0,4.4,3.0,0.8158777919222312,0.004871208207247768
CAR,2021,296033.0,87.0,2331.4300000000003,2110.0,25.07999999999999,5.0,0.9050239552549293,0.005083217073772179
CAR,2022,296970.0,85.0,2117.96,1923.0,2.789999999999999,3.0,0.9079491586243366,0.000563693302353773
