playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8476341,2021,Anton Forsberg,OTT,G,other,46,4208.0,9.25,11.0,128.0,6.01,9.0,14.34,14.0,72.4,70.0,1.55,2.0,42.74,31.0,23.06,29.0,8.67,54.0,34.0,10.0,2.42,4.0,2.82,3.0,6.0,2.0,30.0,0.0,0.0
8476341,2021,Anton Forsberg,OTT,G,all,46,154287.0,129.46,121.0,2593.0,102.05,102.0,318.15,352.0,1415.67,1457.0,41.37,48.0,795.24,647.0,564.55,686.0,124.22,1404.0,434.0,117.0,42.33,52.33,34.79,40.0,50.0,31.0,638.0,2.0,1.0
8476341,2021,Anton Forsberg,OTT,G,5on5,46,125758.0,95.14,88.0,2038.0,74.69,74.0,254.16,284.0,1098.25,1129.0,33.23,39.0,610.3,504.0,451.82,535.0,92.16,1108.0,333.0,80.0,33.15,40.29,21.7,32.0,39.0,17.0,517.0,0.0,0.0
8476341,2021,Anton Forsberg,OTT,G,4on5,46,12483.0,22.27,20.0,377.0,19.86,18.0,45.08,50.0,214.94,227.0,1.09,0.0,132.24,104.0,69.42,98.0,20.61,213.0,58.0,25.0,5.66,6.83,9.78,3.0,5.0,12.0,81.0,2.0,1.0
8476341,2021,Anton Forsberg,OTT,G,5on4,46,11838.0,2.27,1.0,42.0,1.23,0.0,3.36,4.0,24.74,29.0,5.34,7.0,7.77,7.0,17.65,20.0,2.25,25.0,6.0,2.0,0.9,0.87,0.5,1.0,0.0,0.0,9.0,0.0,0.0
8479394,2021,Carter Hart,PHI,G,other,45,3575.0,6.97,10.0,103.0,4.14,3.0,9.71,13.0,51.05,55.0,1.37,2.0,30.61,29.0,16.76,14.0,6.61,43.0,20.0,7.0,1.84,2.4,2.72,2.0,3.0,5.0,33.0,0.0,0.0
8479394,2021,Carter Hart,PHI,G,all,45,156184.0,130.44,137.0,2596.0,100.26,113.0,315.95,378.0,1413.54,1441.0,42.19,51.0,774.92,575.0,568.42,681.0,126.51,1378.0,439.0,118.0,40.32,52.89,37.23,47.0,49.0,41.0,661.0,0.0,0.0
8479394,2021,Carter Hart,PHI,G,5on5,45,128495.0,99.41,95.0,2094.0,76.19,85.0,261.5,322.0,1136.64,1152.0,33.32,44.0,620.4,460.0,466.71,560.0,96.74,1115.0,364.0,81.0,32.95,43.9,22.55,36.0,39.0,20.0,534.0,0.0,0.0
8479394,2021,Carter Hart,PHI,G,4on5,45,11621.0,19.04,28.0,336.0,17.64,21.0,38.5,36.0,183.43,186.0,1.04,0.0,110.14,81.0,57.5,74.0,18.28,184.0,41.0,24.0,4.42,4.82,9.8,6.0,6.0,16.0,87.0,0.0,0.0
8479394,2021,Carter Hart,PHI,G,5on4,45,12493.0,3.85,4.0,50.0,1.68,3.0,4.28,4.0,32.15,37.0,6.02,5.0,9.76,4.0,22.52,26.0,3.73,27.0,11.0,5.0,0.7,1.4,1.74,3.0,1.0,0.0,7.0,0.0,0.0
8476509,2021,Maxime Lagace,TBL,G,other,2,132.0,0.23,0.0,2.0,0.1,0.0,0.18,0.0,1.42,2.0,0.09,0.0,0.89,1.0,0.56,1.0,0.23,1.0,1.0,0.0,0.05,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476509,2021,Maxime Lagace,TBL,G,all,2,5888.0,6.05,10.0,84.0,4.02,6.0,10.88,19.0,51.93,58.0,1.94,3.0,26.83,9.0,18.63,22.0,5.83,40.0,23.0,5.0,1.3,3.15,1.6,1.0,7.0,2.0,16.0,0.0,0.0
8476509,2021,Maxime Lagace,TBL,G,5on5,2,4559.0,5.03,9.0,70.0,3.33,5.0,9.59,18.0,43.74,50.0,1.32,0.0,22.27,7.0,15.46,17.0,4.83,33.0,20.0,4.0,1.08,2.7,1.25,1.0,7.0,1.0,13.0,0.0,0.0
8476509,2021,Maxime Lagace,TBL,G,4on5,2,648.0,0.62,1.0,9.0,0.5,1.0,0.96,1.0,5.31,5.0,0.1,0.0,3.21,1.0,1.52,2.0,0.59,5.0,1.0,1.0,0.11,0.16,0.35,0.0,0.0,1.0,2.0,0.0,0.0
8476509,2021,Maxime Lagace,TBL,G,5on4,2,549.0,0.18,0.0,3.0,0.08,0.0,0.14,0.0,1.46,1.0,0.42,3.0,0.46,0.0,1.09,2.0,0.18,1.0,1.0,0.0,0.07,0.12,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8478433,2021,Felix Sandstrom,PHI,G,other,5,515.0,3.44,2.0,22.0,1.03,1.0,2.01,3.0,12.53,10.0,0.15,0.0,6.53,6.0,2.51,3.0,2.09,6.0,4.0,6.0,0.24,0.53,2.67,0.0,1.0,1.0,6.0,0.0,0.0
8478433,2021,Felix Sandstrom,PHI,G,all,5,17835.0,21.24,16.0,318.0,13.0,14.0,41.03,33.0,182.43,177.0,5.06,3.0,97.3,77.0,68.57,100.0,19.37,157.0,68.0,22.0,5.47,8.29,7.47,3.0,7.0,6.0,71.0,0.0,0.0
8478433,2021,Felix Sandstrom,PHI,G,5on5,5,14409.0,12.5,10.0,233.0,8.74,12.0,32.03,20.0,131.75,127.0,3.83,3.0,69.33,52.0,52.2,82.0,12.2,123.0,45.0,11.0,4.09,5.48,2.93,3.0,5.0,2.0,54.0,0.0,0.0
8478433,2021,Felix Sandstrom,PHI,G,4on5,5,1664.0,4.81,3.0,55.0,2.92,1.0,6.34,9.0,32.95,33.0,0.13,0.0,19.77,17.0,10.14,12.0,4.6,24.0,16.0,5.0,0.97,1.97,1.87,0.0,0.0,3.0,10.0,0.0,0.0
8478433,2021,Felix Sandstrom,PHI,G,5on4,5,1247.0,0.48,1.0,8.0,0.32,0.0,0.65,1.0,5.2,7.0,0.95,0.0,1.67,2.0,3.73,3.0,0.48,4.0,3.0,0.0,0.17,0.31,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8475809,2021,Scott Wedgewood,DAL,G,other,37,2736.0,8.71,8.0,97.0,4.07,7.0,11.41,18.0,56.61,60.0,0.9,2.0,30.24,25.0,19.54,17.0,8.21,43.0,24.0,9.0,1.76,3.12,3.83,4.0,1.0,3.0,21.0,0.0,0.0
8475809,2021,Scott Wedgewood,DAL,G,all,37,126290.0,111.6,110.0,2136.0,83.75,108.0,275.42,327.0,1192.3,1218.0,29.62,25.0,663.52,496.0,476.61,569.0,107.03,1224.0,304.0,122.0,35.27,37.73,38.6,33.0,34.0,43.0,486.0,0.0,0.0
8475809,2021,Scott Wedgewood,DAL,G,5on5,37,106647.0,84.14,81.0,1755.0,64.91,88.0,230.6,272.0,963.93,975.0,24.2,20.0,533.14,400.0,391.52,464.0,80.83,1000.0,249.0,87.0,29.32,30.56,24.26,26.0,30.0,25.0,419.0,0.0,0.0
8475809,2021,Scott Wedgewood,DAL,G,4on5,37,8400.0,15.61,19.0,240.0,12.94,13.0,28.62,33.0,141.83,152.0,0.68,0.0,89.17,65.0,47.24,62.0,14.85,154.0,19.0,25.0,3.16,2.19,10.26,2.0,2.0,15.0,42.0,0.0,0.0
8475809,2021,Scott Wedgewood,DAL,G,5on4,37,8507.0,2.06,1.0,31.0,1.19,0.0,3.09,1.0,20.5,23.0,3.58,3.0,6.77,5.0,14.2,20.0,2.06,20.0,7.0,1.0,0.66,1.14,0.26,0.0,1.0,0.0,3.0,0.0,0.0
8477180,2021,Aaron Dell,BUF,G,other,12,673.0,1.53,2.0,22.0,1.05,2.0,2.49,4.0,13.01,14.0,0.19,1.0,8.22,7.0,4.27,1.0,1.3,13.0,3.0,2.0,0.52,0.39,0.62,0.0,1.0,1.0,4.0,0.0,0.0
8477180,2021,Aaron Dell,BUF,G,all,12,33923.0,33.64,38.0,594.0,23.71,29.0,72.18,76.0,335.68,355.0,7.65,9.0,188.08,147.0,135.75,163.0,32.06,329.0,102.0,33.0,10.33,12.2,11.11,11.0,14.0,13.0,130.0,2.0,1.0
8477180,2021,Aaron Dell,BUF,G,5on5,12,27485.0,22.68,23.0,485.0,18.4,21.0,60.38,64.0,267.45,284.0,6.01,6.0,150.63,119.0,110.43,135.0,21.71,278.0,75.0,18.0,8.58,8.95,5.15,10.0,12.0,1.0,114.0,2.0,1.0
8477180,2021,Aaron Dell,BUF,G,4on5,12,2532.0,8.65,12.0,72.0,3.8,6.0,7.92,6.0,44.92,44.0,0.25,0.0,25.93,17.0,13.28,20.0,8.27,28.0,21.0,12.0,1.04,2.51,5.1,1.0,1.0,10.0,11.0,0.0,0.0
8477180,2021,Aaron Dell,BUF,G,5on4,12,3233.0,0.78,1.0,15.0,0.46,0.0,1.4,2.0,10.3,13.0,1.2,2.0,3.3,4.0,7.77,7.0,0.78,10.0,3.0,1.0,0.19,0.36,0.23,0.0,0.0,1.0,1.0,0.0,0.0
8480591,2021,Thomas Hodges,ANA,G,other,1,8.0,0.13,0.0,1.0,0.05,0.0,0.12,0.0,0.75,1.0,0.0,0.0,0.46,0.0,0.2,1.0,0.13,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480591,2021,Thomas Hodges,ANA,G,all,1,1156.0,0.34,1.0,8.0,0.17,0.0,0.71,0.0,2.76,3.0,0.3,0.0,1.61,1.0,1.05,2.0,0.34,2.0,2.0,0.0,0.11,0.22,0.0,0.0,1.0,0.0,4.0,0.0,0.0
8480591,2021,Thomas Hodges,ANA,G,5on5,1,1000.0,0.11,0.0,6.0,0.07,0.0,0.45,0.0,1.32,1.0,0.22,0.0,0.71,1.0,0.61,1.0,0.11,2.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
8480591,2021,Thomas Hodges,ANA,G,4on5,1,34.0,0.09,1.0,1.0,0.05,0.0,0.14,0.0,0.69,1.0,0.0,0.0,0.45,0.0,0.25,0.0,0.09,0.0,1.0,0.0,0.0,0.09,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8480591,2021,Thomas Hodges,ANA,G,5on4,1,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480280,2021,Jeremy Swayman,BOS,G,other,41,5836.0,9.36,6.0,128.0,4.69,2.0,14.05,11.0,70.4,71.0,1.51,3.0,40.4,39.0,26.12,35.0,9.19,61.0,27.0,9.0,2.23,3.02,4.1,2.0,0.0,4.0,31.0,0.0,0.0
8480280,2021,Jeremy Swayman,BOS,G,all,41,143414.0,100.15,96.0,2064.0,75.62,65.0,254.92,279.0,1110.16,1111.0,43.95,44.0,626.62,487.0,458.0,580.0,95.86,1166.0,285.0,101.0,31.58,33.76,34.8,30.0,32.0,34.0,512.0,6.0,3.0
8480280,2021,Jeremy Swayman,BOS,G,5on5,41,116588.0,66.69,65.0,1591.0,54.88,49.0,203.22,227.0,844.28,838.0,35.68,35.0,477.12,358.0,353.09,449.0,64.56,919.0,206.0,58.0,25.37,24.81,16.51,23.0,24.0,18.0,408.0,4.0,2.0
8480280,2021,Jeremy Swayman,BOS,G,4on5,41,11152.0,19.08,20.0,281.0,13.52,11.0,31.89,36.0,153.02,152.0,0.95,1.0,95.13,78.0,50.41,65.0,17.31,151.0,40.0,24.0,3.15,4.63,11.3,5.0,7.0,8.0,66.0,0.0,0.0
8480280,2021,Jeremy Swayman,BOS,G,5on4,41,9838.0,4.15,4.0,60.0,2.24,2.0,5.12,4.0,38.83,46.0,5.74,5.0,13.03,12.0,27.23,30.0,4.02,35.0,11.0,7.0,0.82,1.21,2.12,0.0,0.0,4.0,7.0,2.0,1.0
8480022,2021,Michael Dipietro,VAN,G,other,1,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480022,2021,Michael Dipietro,VAN,G,all,1,3441.0,2.48,3.0,31.0,1.28,2.0,3.8,1.0,16.96,17.0,1.26,0.0,8.65,5.0,6.23,11.0,2.4,13.0,7.0,3.0,0.36,0.93,1.19,1.0,1.0,1.0,8.0,0.0,0.0
8480022,2021,Michael Dipietro,VAN,G,5on5,1,2768.0,1.83,2.0,25.0,1.21,2.0,3.54,1.0,15.46,16.0,1.0,0.0,8.02,4.0,5.89,11.0,1.75,12.0,7.0,2.0,0.35,0.93,0.55,1.0,1.0,0.0,4.0,0.0,0.0
8480022,2021,Michael Dipietro,VAN,G,4on5,1,299.0,0.65,1.0,6.0,0.07,0.0,0.26,0.0,1.5,1.0,0.0,0.0,0.63,1.0,0.34,0.0,0.65,1.0,0.0,1.0,0.01,0.0,0.64,0.0,0.0,1.0,4.0,0.0,0.0
8480022,2021,Michael Dipietro,VAN,G,5on4,1,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480925,2021,Pavel Francouz,COL,G,other,21,2811.0,8.02,6.0,91.0,3.99,6.0,9.27,13.0,47.86,50.0,1.01,3.0,27.76,21.0,14.2,16.0,7.33,32.0,20.0,13.0,1.29,2.48,4.25,2.0,0.0,4.0,26.0,0.0,0.0
8480925,2021,Pavel Francouz,COL,G,all,21,72009.0,52.94,51.0,1060.0,40.68,45.0,132.55,158.0,575.83,608.0,22.6,20.0,325.91,222.0,231.63,311.0,50.98,582.0,168.0,53.0,15.88,20.61,16.45,17.0,17.0,17.0,257.0,0.0,0.0
8480925,2021,Pavel Francouz,COL,G,5on5,21,58298.0,35.14,34.0,823.0,29.98,33.0,108.01,131.0,452.91,479.0,17.94,12.0,255.24,168.0,188.76,254.0,34.36,481.0,124.0,27.0,12.71,15.22,7.21,14.0,14.0,6.0,191.0,0.0,0.0
8480925,2021,Pavel Francouz,COL,G,4on5,21,5086.0,8.8,9.0,124.0,6.03,6.0,13.29,12.0,63.45,66.0,0.58,0.0,38.49,30.0,20.19,31.0,8.31,55.0,22.0,12.0,1.55,2.62,4.63,0.0,3.0,6.0,35.0,0.0,0.0
8480925,2021,Pavel Francouz,COL,G,5on4,21,5814.0,0.99,2.0,22.0,0.68,0.0,1.99,2.0,11.6,13.0,3.07,5.0,4.42,3.0,8.48,10.0,0.99,14.0,2.0,1.0,0.33,0.29,0.37,1.0,0.0,1.0,5.0,0.0,0.0
8479193,2021,Casey DeSmith,PIT,G,other,26,2451.0,3.49,2.0,59.0,2.07,0.0,5.8,8.0,28.88,29.0,1.11,1.0,15.56,13.0,13.08,17.0,3.45,26.0,11.0,4.0,1.17,1.22,1.1,1.0,0.0,1.0,18.0,0.0,0.0
8479193,2021,Casey DeSmith,PIT,G,all,26,85089.0,65.38,66.0,1328.0,51.53,67.0,172.45,184.0,741.96,769.0,26.7,27.0,408.69,301.0,303.09,380.0,63.01,781.0,179.0,66.0,22.28,21.58,21.53,24.0,19.0,23.0,302.0,0.0,0.0
