feature,coefficient,absolute_importance
rolling_faceoff_5_diff,89.33000383108154,89.33000383108154
rolling_pk_pct_10_diff,-73.9408819492681,73.9408819492681
rolling_pp_pct_10_diff,41.36444366970721,41.36444366970721
rolling_faceoff_3_diff,41.326565328440715,41.326565328440715
rolling_pk_pct_3_diff,15.523628531997671,15.523628531997671
rolling_faceoff_10_diff,-4.19352929044678,4.19352929044678
rolling_pp_pct_5_diff,3.323974931103239,3.323974931103239
rolling_pk_pct_5_diff,-0.6640417330186836,0.6640417330186836
is_b2b_home,-0.5636349800111244,0.5636349800111244
rolling_pp_pct_3_diff,0.3310534778988096,0.3310534778988096
is_b2b_diff,-0.28498919633400444,0.28498919633400444
season_win_pct_diff,0.24073079331541763,0.24073079331541763
rolling_win_pct_5_diff,0.1974380043187484,0.1974380043187484
rest_away_two_days,-0.19610463222711838,0.19610463222711838
momentum_win_pct_diff,0.14677754327052664,0.14677754327052664
rest_home_two_days,-0.14203432020438966,0.14203432020438966
home_b2b,0.1402333285598673,0.1402333285598673
rest_home_b2b,0.1402333285598673,0.1402333285598673
games_last_3d_away,-0.12608486699009394,0.12608486699009394
away_b2b,0.11855047930093578,0.11855047930093578
rest_away_b2b,0.11855047930093578,0.11855047930093578
ot_losses_prior_diff,-0.1125643042515833,0.1125643042515833
season_goal_diff_avg_diff,0.10119171861311187,0.10119171861311187
momentum_goal_diff_diff,-0.09985545848175527,0.09985545848175527
rest_away_three_plus,-0.08203580015197909,0.08203580015197909
games_last_3d_diff,0.0715357179003316,0.0715357179003316
rolling_win_pct_3_diff,-0.06939889717263611,0.06939889717263611
rolling_win_pct_3_diff,-0.06939889717263611,0.06939889717263611
rest_home_three_plus,0.06817715184021575,0.06817715184021575
rest_away_one_day,0.06743580723748474,0.06743580723748474
rest_home_one_day,-0.06448212795323395,0.06448212795323395
wins_so_prior_diff,0.05773241083470997,0.05773241083470997
points_per_game_prior_diff,0.05407127516166855,0.05407127516166855
games_last_6d_away,-0.05214465528424599,0.05214465528424599
is_b2b_away,0.0492150510957074,0.0492150510957074
losses_prior_diff,-0.04920919905119208,0.04920919905119208
point_pct_prior_diff,-0.029121713889833683,0.029121713889833683
rolling_goal_diff_10_diff,0.027508135018376612,0.027508135018376612
games_last_6d_diff,0.025214357320132424,0.025214357320132424
season_shot_margin_diff,0.023506551729299403,0.023506551729299403
shotsFor_roll_5_diff,0.021736171578307414,0.021736171578307414
rolling_win_pct_10_diff,0.016932832139498283,0.016932832139498283
wins_reg_prior_diff,-0.01689295816315794,0.01689295816315794
reg_ot_wins_prior_diff,-0.014830330738361092,0.014830330738361092
points_prior_diff,-0.014560856944916841,0.014560856944916841
shotsFor_roll_10_diff,-0.014300381506635124,0.014300381506635124
games_last_3d_home,-0.014122906752947645,0.014122906752947645
games_last_6d_home,-0.010525671567659128,0.010525671567659128
shotsAgainst_roll_3_diff,-0.010491764126932973,0.010491764126932973
shotsAgainst_roll_10_diff,-0.009570421645318499,0.009570421645318499
rest_diff,-0.009376559362140182,0.009376559362140182
rest_days_diff,-0.009376559362140144,0.009376559362140144
rest_days_home,-0.008951789295059458,0.008951789295059458
wins_prior_diff,-0.007988858514077388,0.007988858514077388
shotsFor_roll_3_diff,-0.007861017216234747,0.007861017216234747
games_played_prior_home,-0.0061622651242284375,0.0061622651242284375
rolling_goal_diff_3_diff,-0.00576019118724205,0.00576019118724205
rolling_goal_diff_5_diff,0.004738092562715551,0.004738092562715551
shot_margin_last_game_diff,0.004249389961390333,0.004249389961390333
shotsAgainst_roll_5_diff,-0.0038162515634209034,0.0038162515634209034
games_played_prior_away,0.000543086068543473,0.000543086068543473
rest_days_away,-0.00031289637146520924,0.00031289637146520924
momentum_shot_margin_diff,-0.00023295910466572783,0.00023295910466572783
